X,Y,sitename,featurelocation,objectid
430987.9326,392785.7754,BIRCH HOUSE AVENUE,"opp 19,  jct Birch Grove",54
436296.1524,386921.714,GLENCOE ROAD,Jct Talbot Place,55
433663.9991,394199.2008,NETHER AVENUE,Whitley Lane Jn,56
432698.1809,391063.568399999,MIDDLEWOOD ROAD,Opp no531,57
435727.1277,384198.453500001,UPPER ALBERT ROAD,jct Carfield Avenue,58
442043.7515,384744.1173,TANNERY CLOSE,o/s 150-156 nr subway steps,59
433764.0034,389363.855,BURTON STREET,Adj no43,60
431132.1304,392722.2336,BEELY ROAD,Outside 19,61
434149.93,392801.470899999,MANSEL CRESCENT,junction Mansel Avenue,62
433247.4091,386579.1021,WESTBOURNE ROAD,junc Ashdell Road,63
442603.3933,385129.946900001,GOATHLAND ROAD,o/s 15,64
428831.6017,397592.6995,THE ROOKERY,between 68 & 70,65
433622.7161,388692.0473,INDUSTRY STREET,outside 46,66
436591.9522,382894.9267,BLACKSTOCK CRESCENT,Adj no48,67
433374.6387,382400.5482,FOLDS LANE,o/s 89A jct Dalewood Road,68
431607.7963,384381.960999999,BENTS GREEN ROAD,o/s Bents Green Shops,70
433970.806,397915.1272,DOWLAND AVENUE,opp Jct Taverner Way,71
430851.6335,392991.6765,CLOUGH WOOD VIEW,Opp 2,72
438201.0583,386499.3849,MOTEHALL ROAD,Jct Harborough Avenue,73
435670.344,388743.442500001,NOTTINGHAM STREET,o/s 138,74
435343.5675,396202.897299999,SMITH STREET,side of 63,75
433984.3362,388717.25,WHITEHOUSE LANE,Jct with Burgoyne Road,76
435364.2296,389584.7217,HIGH VIEW,in Cul de Sac,77
432885.0139,390778.630000001,CROFTON AVENUE,Jct Middlewood Road,78
435377.8175,382707.770199999,DERBYSHIRE LANE,Jct Cobnar Road,79
437035.6602,391676.343,WINDMILL LANE,Jct Bellhouse Road,80
434109.6941,395903.523,MACKENZIE CRESCENT,O/S 98,81
437488.4212,389855.8441,BLAND STREET,Crown Hill T/Centre,82
432460.3273,393421.7234,OUGHTIBRIDGE LANE,Sharp bend at Whalejaw Hill,83
434414.1265,383132.6686,FRASER ROAD,on grass next to 134,84
434925.9304,387550.434,GARDEN STREET,o/s Imprints (32-38),85
430508.977,385648.7784,CHORLEY DRIVE,o/s 2,86
435286.1571,393892.2787,RENEVILLE CLOSE,number 8,87
426490.6475,398207.0436,ALPINE ROAD,25m away from bin near Alpine Lodge [jcn Viola Bank],88
432424.1068,384967.5634,FALKLAND ROAD,o/s No 4,89
435111.6669,387006.729699999,WELLINGTON STREET,Front of old Fire Station,91
436220.471,388908.315300001,EARLDOM CLOSE,o/s 4,92
434357.8787,382836.463400001,MOOR VIEW ROAD,outside 85,93
433542.0876,393004.7927,COWPER AVENUE,adj 103 Carrill Road,94
430616.8883,381036.5086,HIGH TREES,between 22-25,95
436780.8878,391369.4509,HUCKLOW ROAD,O/S FIRTH PARK LIBRARY,96
433050.4841,384770.1899,BRINCLIFFE EDGE ROAD,opp 382,98
436972.3216,383066.547499999,IRONSIDE CLOSE,at head of cul-de-sac,100
434437.7816,385664.3739,HUNTINGDON CRESCENT,"opp 56, jct Sharrow Lane",101
432162.8785,385452.3146,CLIFFE FARM DRIVE,o/s 4,103
435827.297,385704.3025,OLIVE GROVE ROAD,End of Olive Grove Road - junction Heeley Bank Road,104
442348.456,385219.0514,MOSCROP CLOSE,Adj no1,105
435761.4272,380993.6209,ORMOND DRIVE,OPP 32,106
431686.2315,389808.787599999,RIVERSIDE CLOSE,opp 4 at bottom of cul de sac,107
434905.7795,387552.5934,GARDEN STREET,Adj no38,108
440870.5123,382804.6325,ARDSLEY CLOSE,o/s 6,109
434633.239,387973.243000001,NETHERTHORPE PLACE,Adj parking area s/o no1,111
436060.6899,393048.280300001,HIGH GREAVE COURT,Adj no4,113
437885.0499,384362.986400001,GLEADLESS VIEW,opp No 8,115
440672.6638,386675.0846,FINCHWELL CRESCENT,o/s 32,117
435974.1663,388333.3199,SPITAL STREET,o/s 14,118
437665.7477,393083.510199999,WOOLLEY WOOD ROAD,Outside 137,119
438359.1079,390820.008099999,DEARNE STREET,Adj to substation at junction with Stupton Road,120
432090.627,384157.1853,HOOBER ROAD,o/s 9,121
438471.5788,384816.296700001,NEWLANDS ROAD,junction of Newlands Avenue opposite number 5,122
432663.0816,388974.636399999,WALKLEY BANK ROAD,junction Fern Road [opposite 344 Walkley Bank Road] next to steps,123
439315.6834,391350.316299999,ALSING ROAD,Outside overflow carpark/coach park,125
441423.3601,381961.124,QUARRY HILL,Jct Moor Valley,126
434661.3876,396087.8402,BURNS DRIVE,o/s 23 on grass area,127
431506.3738,381191.454299999,BURLINGTON ROAD,Junction with Ashfurlong Road,128
436509.6665,389323.0066,SEDAN STREET,Jct Carwood Road,129
426142.4916,398379.554199999,WOOLLEY ROAD,Outside no 219,131
433504.8529,388458.844000001,HADFIELD STREET,o/s 16,132
441707.6993,382616.5463,MOORTHORPE WAY,Outside doctors surgery on r/b - Jct Moorthorpe Rise,136
435775.8808,388330.1009,VERDON STREET,Adj no41,137
433849.043,397083.2653,FRANCIS GROVE,Opp no3,139
436279.1263,389842.857799999,OSGATHORPE CRESCENT,jct Osgathorpe Rd,140
441383.8003,382785.697899999,WOOLDALE DRIVE,opp 32,142
435735.9994,383817.4526,THORPE HOUSE ROAD,corner of Lees Hall Road and Thorpe House Road,143
438477.8862,390940.443700001,CASTLEDINE GARDENS,junction of tipton street,148
433847.4764,392407.953600001,HALIFAX ROAD,Jct with Chaucer Road,149
432937.7576,394082.8741,FREDERICK DRIVE,jct Bower Lane,150
443854.3422,380892.060000001,OXCLOSE PARK GARDENS,car park to right,152
435119.8625,390207.5035,MILES ROAD,Jct with Standish Road,153
435070.9116,380768.115499999,LUPTON ROAD,opposite 22,155
434313.8336,388411.287599999,PHILADELPHIA GARDENS,o/s play area opp 21,156
434074.8422,381708.2663,COCKSHUTT DRIVE,jct Westwick Road,157
430538.9725,393262.249,CHURCH STREET,jct Church Close,158
438629.4964,385870.6249,FAIRFAX RISE,O/S 10,159
431934.8778,387416.5524,VERNON DELPH,jct Marsh Lane,160
433205.7633,393513.517100001,VICARAGE CRESCENT,Bottom - betw 56 & 58,161
421440.226,399510.2106,LOW MOOR LANE,Sharp Corner on Low Moor Lane,163
428096.0021,397730.9999,CARR CLOSE,Carr Rd Jct,164
436814.5771,387246.2611,MANOR OAKS ROAD,Jct Whites Lane,165
431958.6731,384794.5429,HIGHCLIFFE ROAD,junction of High Storrs Road and Highcliffe Road,166
431667.6224,385135.225400001,HIGHCLIFFE ROAD,jct Greystones Rd,167
430912.9602,387491.321,HAGG LANE,o/s 2 Hagg Cottages [Hagg Lane/Bell Hagg runs off Long Lane],168
434244.8966,384757.273600001,ASHLAND ROAD,Jct Glen Road,169
433414.1985,392193.674900001,LYMINSTER ROAD,o/s 55,170
435936.8903,388790.629000001,BRESSINGHAM ROAD NORTH,Adj jct Catherine Road,172
428835.3038,396564.7437,BANK LANE,Outside entrance to Bank Cottage (top),174
437442.826,383860.780200001,SPRING CLOSE VIEW,o/s 23,175
433338.3192,394009.7151,BROOK CLOSE,o/s 3,178
439862.3227,384085.8158,ROWDALE CRESCENT,opp 27,179
440520.2538,390377.4848,BAWTRY ROAD,Jct Yew Tree Drive,180
433747.0928,388240.5965,BIRKENDALE VIEW,Outside 24,183
434834.5999,397330.4045,THORNCLIFFE LANE,Ironstone Drive,184
444101.0426,383388.305400001,GRANGE ROAD,Opp no78,185
436855.8024,385346.295,BELDON ROAD,opposite NHS on bend,186
435617.9961,389516.0514,ROE LANE,near number 33,187
435470.1869,390274.9242,MUSGRAVE CRESCENT,Adj no45,188
433941.9896,393608.109999999,HILL TOP RISE,Jct Hill Top Road,189
439564.3297,383363.3226,HAYFIELD PLACE,Jct Hayfield Drive [opp No 10 Hayfield Drive],190
439884.304,384113.197899999,ROWDALE CRESCENT,opp 6,192
436712.3136,389946.598099999,WHITEWAYS CLOSE,Bottom of road.,193
435493.5534,385986.241800001,LANCING ROAD,o/s 139,194
432492.1285,384980.7796,DOBBIN HILL,junction of Greystones Drive,195
434113.8991,386475.9516,BROOMHALL ROAD,Broomhall Road - Park Lane to Collegiate Crescent - Outside Robert Winston Building,197
436434.859,387337.9549,HYDE PARK WALK,opposite 14,198
435963.7775,383886.7728,HOLLYTHORPE ROAD,jct Thorpe House Avenue,199
430073.7697,388626.706,MOORLAND PLACE,jct Highfield Rise,200
442154.4085,382720.886499999,EDENTHORPE GROVE,Adj no32,201
433416.3092,387624.3829,SPRING HILL,Jct Commonside,202
443095.2524,381058.962200001,HALFWAY DRIVE,in Blackberry Hamlet Car Park opp No. 42,203
437875.5103,384764.331599999,DAGNAM ROAD,Dagnam Road at the junction with Eastbank Road,204
438735.6433,390802.233200001,AMOS ROAD,outside trulife,208
441419.2376,383677.9725,CARR FORGE LANE,Jct Carr Forge Terrace,209
442597.5228,380870.686100001,DUKE STREET,opp No 10,210
437550.5807,391237.8485,BLUEBELL ROAD,jct Lavender Way,211
443331.7867,381982.697799999,CHALLONER WAY,Jct Westfield Northway,213
432239.8462,384762.612,RENSHAW ROAD,Located outside 37 - from enquiry 1537662,214
441218.2725,382708.380100001,ROYSTON AVENUE,End of CDS - opp 51,215
435697.9897,389664.4089,ORPHANAGE ROAD,Jct Roe Lane,217
426536.7621,398316.1424,SMITH ROAD,l/h side up hill on steep part - approx 10m from Coronation Road,218
430269.8867,386156.383099999,HALLAM GRANGE ROAD,o/s 15,219
436886.4823,384533.0678,NEWFIELD GREEN ROAD,o/s 68,220
431654.2902,389953.6361,STUDFIELD HILL,opp 79,221
431801.4892,383505.401900001,PARKHEAD CRESCENT,o/s 20,222
435532.7422,383608.102499999,THORPE HOUSE RISE,O/S 53,223
436221.4274,386488.278100001,FARM BANK ROAD,Junction with Granville Road [outside 169],224
430585.2685,392128.8835,TOWNGATE ROAD,o/s Community Hall - Jct Top Road,225
438662.5179,388594.5452,CLAY PIT WAY,Opp jct Tudor Close,227
433497.0861,386031.878699999,BRISTOL ROAD,Dover Road jct,229
433071.3606,386804.4976,LAWSON ROAD,o/s No 5 - Broomhill Surgery,231
430712.9928,386713.773499999,SANDYGATE GROVE,(PRIVATE) 1st bin in car park @ end of cul de sac,232
432214.4514,385164.177100001,GREYSTONES CLOSE,o/s 33,233
433070.9483,386559.3277,OAKHOLME ROAD,Outside Birkdale school,234
435453.5484,383673.163899999,THORPE HOUSE AVENUE,Jct Warminster Road,235
430632.084,379475.965299999,TOTLEY HALL CROFT,o/s 21/23,236
442360.2794,383160.140699999,BARLBY GROVE,Junction with Halton Court,237
434271.9487,380475.4692,GRESLEY WALK,Adj no15,238
433785.5395,391100.097999999,BINSTED GROVE,Adj 46,239
433114.2431,388806.524499999,PARSONAGE CRESCENT,jct Parsonage Court,240
436365.7077,381982.1579,SCHOOL LANE,between No 26 & Norton Green Close on opp site of road in middle,242
435696.0933,385078.911499999,ALEXANDRA ROAD,o/s 155,243
436195.9007,384835.2313,DERBY STREET,Corner on Lichford Road,244
432015.6959,391014.9923,DYKEWOOD DRIVE,flats 53/57,246
436101.1237,385137.364800001,MADEHURST ROAD,Adj no43,247
435353.3214,389417.0897,COOKS WOOD ROAD,o/s 65,248
433176.0728,388176.3749,BRADLEY STREET,o/s 28,249
435770.6864,393950.642000001,SYCAMORE ROAD,jct Park Crescent,251
431494.7482,387092.565099999,MELFORT GLEN,o/s 1,252
433047.689,385962.8585,ENDCLIFFE VALE AVENUE,between 12/14 at top of cul de sac,254
434857.8097,384105.8101,COCKAYNE PLACE,Jct Cliffe Field Road (bottom),255
437280.3488,386918.574899999,YORKSTONE CLOSE,opposite 11,256
431401.1173,388996.210200001,ASHURST CLOSE,junction Ashurst Drive,257
430488.0263,393813.461300001,CRAG VIEW CRESCENT,S/o 42,258
433995.3433,385741.3619,SHARROW VALE ROAD,Jct Porter Brook View,259
429811.9065,393185.421,COLDWELL HILL,o/s Coldwell House,261
428759.4739,397659.4804,THE ROOKERY,opp 33,262
434848.7319,383716.431500001,DERBYSHIRE LANE,Opp no131,263
432879.902,384710.966800001,THE LAWNS,o/s 31,264
434234.4666,396301.819,WHARFEDALE DRIVE,jct Bowlands Drive,267
432224.4939,380631.544500001,ROSAMOND CLOSE,jct Rosamund Ave,268
432809.5881,387764.6927,CROOKES,"outside Jack Fultons, Duncan Road - Stannington View",269
437726.8271,387026.2041,SEATON CRESCENT,as it joins Manor Lane opposite 74,270
433049.3875,392697.160800001,EDGE WELL RISE,in cul de sac - o/s 7,271
430891.7704,392131.152799999,MOWSON CRESCENT,jct Mowson Drive,272
432496.0862,384258.916200001,MILLHOUSES LANE,junction Woodholm Road,273
427373.9574,398066.673800001,WHEATACRE ROAD,Opposite 40,274
436201.7299,384699.020199999,EDWIN ROAD,top of cul de sac nr flats 23-29,275
431654.6859,391820.1918,STOCKARTH LANE,On Bend opposite no 26,276
433607.8337,387065.392899999,SEVERN ROAD,"Muslim Welfare House, 10-12 Severn Road",277
431323.3087,380471.3204,FURNISS AVENUE,on verge opp No 8 [opposite 23 King Ecgbert Road],278
437427.3665,393221.670700001,WOOLLEY WOOD ROAD,Outside 65,279
429706.5017,394684.911800001,DIXON DRIVE,Adj no35,280
439671.6969,383544.040899999,STANTON CRESCENT,on grass verge outside 24,281
434373.7669,396095.517999999,MEADOW DRIVE,opposite 36,282
436778.0432,389923.4948,WHITEWAYS GROVE,Adj no4,283
436355.5416,387434.737199999,HYDE PARK TERRACE,Harold Lambert Court,284
437148.4031,387632.1307,SHEFFIELD PARKWAY,Gala Bingo slip road near Burger King,285
435579.3597,394598.1766,CHURCH STREET,jct Whitley Lane,286
444151.9971,380462.0031,OX HILL,junc deepwell ave,287
436946.0034,386891.1228,BASSETT PLACE,at junction Boundary Road,288
435823.6527,389321.747,HOLTWOOD ROAD,Adj no4,290
439882.1603,387642.5877,OLIVERS DRIVE,o/s 15,291
440269.7194,385912.422900001,RICHMOND PARK ROAD,outside number 2,292
428548.4828,397710.8456,ST MATTHIAS ROAD,Jct Hillcrest Road,293
442791.1663,381316.1886,STONESDALE CLOSE,Adj no6,294
426603.1266,397787.7436,LILAC AVENUE,Adj playground,297
434906.8513,396159.3398,STEVEN CRESCENT,opposite 14,298
431692.3741,388486.1162,NELSON ROAD,Jct Stannington Road,299
437889.2466,390949.211100001,FORT HILL ROAD,jct Sandstone Avenue,300
433068.2522,388020.849400001,SLINN STREET,o/s St Timothy's Church opp 111,301
433176.3697,384073.2794,SUNNINGDALE MOUNT,o/s 1 [junction Sunningdale Mount],302
428244.0669,397700.818499999,WEBB AVENUE,jct St Paul Close,303
429742.714,385370.098200001,MOORCROFT DRIVE,between 5-7,304
431067.2583,386143.0769,SNAITHING PARK ROAD,Opp Snaithing Park Close,305
431521.3963,390140.162699999,BEN LANE,Approx 60m East of Woodstock Road,306
434514.8811,383603.163899999,TODWICK ROAD,Outside 44  - Junction with Woodseats Road,307
426370.5664,398520.194,RIDAL AVENUE,Outside No 36,308
430791.0075,380388.234200001,TOTLEY BROOK ROAD,Adj jct Totley Brook Way,310
433052.1578,392549.833000001,EDGE WELL CLOSE,Near No. 7,311
426727.8084,398487.0835,CORONATION ROAD,Opp Jct Rundle Road,312
439562.8209,389013.6252,SHEPCOTE WAY,(PRIVATE) opposite NE Electrical,313
437419.4513,383978.036599999,GLEADLESS ROAD,Hurlfield Hill - opp 687,315
441575.6794,381716.813899999,ROSE HILL AVENUE,Side of 57 - jct Rose Hill Mews,316
438778.7485,385207.2948,HOLBROOK ROAD,outside 34 [junction Kilvington Avenue],317
430512.0936,385269.477,ORIEL ROAD,opp 18,318
430940.4905,386747.184,SANDYGATE PARK CRESCENT,Jct Sandygate Park Road,319
433085.8966,385894.498,EVERTON ROAD,jct Rossington Road,320
435281.342,387457.330700001,VICAR LANE,Adj Cathedral Court,321
433018.5674,386901.9197,LAWSON ROAD,Outside 15,322
433225.939,386167.16,ENDCLIFFE VALE ROAD,opp No 16 [junction Endcliffe Terrace Road],323
437529.4321,383777.7939,FLEURY ROAD,Junction with Spring Close Mount,324
438707.7833,386256.624399999,NOEHILL PLACE,in the garden of no.6,325
432762.649,387565.399800001,BRICK STREET,outside 57-73,326
437653.1493,385173.534399999,ALGAR ROAD,outside 25,327
428365.9867,396261.1406,MORE HALL LANE,o/s Peasebloom House/Sunnybank Farm,328
436865.8119,389751.0041,MARGATE DRIVE,o/s 89/99,329
429665.0537,394535.974400001,DON AVENUE,Located outside number 85,331
433463.0669,388179.1741,JOSEPH ROAD,(PRIVATE) Bottom of Cul De Sac - o/s No's 18-35,332
433237.0616,394260.203400001,THE FROSTINGS,Jct Packmans Way,333
427821.6725,398025.965399999,WHITEHEAD AVENUE,Jcn Broadhead Road,334
432806.7024,382227.397700001,ABBEY LANE DELL,nr Abbey Lane jct - opposite bin 1 (Bin 2),335
441974.9959,385655.996300001,FLOCKTON ROAD,OS 119,336
442534.4233,381192.483999999,STONE STREET,Stone Street junction High Street,338
440430.7207,383396.0832,EAST GLADE AVENUE,o/s 35,339
431881.8621,390391.410800001,LUKE LANE,Bland Lane Jn,341
432395.8427,389142.178400001,WOOD LANE,junction Stannington Road,342
433804.0332,384843.698799999,EDGEBROOK ROAD,jct Union Road,343
432771.1414,380455.604900001,ST QUENTIN DRIVE,o/s 17 on bin stand,344
435127.1841,393322.821699999,BRITLAND CLOSE,O/s no5,345
428743.5033,397587.200999999,THE ROOKERY,jct Rookery Dell,346
431751.7468,386220.8846,RANMOOR ROAD,jct Ranmoor Crescent - opp 23,347
435070.6065,387805.281099999,SNOW LANE,Jct Smithfield,348
431604.3993,385685.797800001,BRAMWITH ROAD,jct Armthorpe Road,350
440556.4414,385329.459799999,SMELTER WOOD AVENUE,O/S 30,352
442383.6212,385758.177100001,OLD RETFORD ROAD,junction of Retford Road,353
435684.4431,380436.8903,BATEMOOR ROAD,2 of 2 at the Ambulance Station,354
431324.8093,380917.692600001,WYVERN GARDENS,nr jct Bushey Wood Road,355
435931.7207,388591.0162,KILTON HILL,Next to 44 Andover Street,356
433423.0701,387751.996300001,ROSA ROAD,End of Cul-De-Sac,357
434673.9861,397400.1546,IRONSTONE DRIVE,Adj 38,358
442795.5197,384548.953199999,STACYE AVENUE,o/s 15,359
430681.6533,392501.446799999,BOGGARD LANE,Approx 30m from jct Haggstones Road,360
433264.4599,385532.8716,GUEST ROAD,Penrhyn Road o/s 31,361
443543.7013,381603.316400001,EASTCROFT WAY,Jct Shortbrook Close,362
435788.001,390029.804300001,NORWOOD CLOSE,jct Norwood Drive,363
433674.8331,385283.293,WILLIAMSON ROAD,Between 12-14,364
432888.617,387540.766799999,PICKMERE ROAD,o/s St Vincent's Church,365
434217.6137,391015.8321,ADKINS ROAD,Outside No.52,366
431846.1692,385265.338099999,HIGHCLIFFE DRIVE,Jct Greystones Road,367
438592.4514,383422.3957,LISTER DRIVE,junction Lister Crescent,368
437039.5188,386839.6875,BOUNDARY ROAD,opposite 145,369
433329.3898,394140.4077,THE FROSTINGS,jct Norfolk Hill,371
433467.981,388207.456,FULTON ROAD,opp 148,372
440908.0438,382062.1251,RIBBLESDALE DRIVE,o/s 22,373
431487.3689,389923.3248,EDEN DRIVE,opp 25,374
435228.384,396445.2579,QUEEN STREET,just off Westbrook Road in corner near No 1,375
443141.6721,381016.994200001,STREETFIELDS,outside Blackberry Home,376
433493.7221,392046.8969,AYSGARTH ROAD,Jct Lyminster Road,377
432014.352,385408.967,GREYSTONES ROAD,on bend near High Storrs Road,378
433016.5886,393955.410599999,WALKER CLOSE,Outside No. 4 Walker Close,379
435809.1908,384955.2369,HEELEY GREEN,Opp jct Denmark Road,380
435999.7837,393295.7794,ORCHARD CLOSE,o/s 12,381
434906.4803,396772.3643,SLAIDBURN AVENUE,Sherburn Gate,382
435898.287,393410.376599999,ST MICHAEL'S CRESCENT,Outside 46,383
435313.2422,387024.264699999,CHARLES STREET,jct Pinstone Street,384
437068.9207,390581.0165,WENSLEY COURT,Opp no6,385
439895.9213,383301.7502,THORNBRIDGE CLOSE,CDS - o/s 9,386
434452.6062,391886.052999999,DRYDEN ROAD,Jct Southey Hill (o/s No. 78),388
435281.8285,387428.348999999,CHURCH STREET,jct Vicar Lane,390
435926.6335,395933.694399999,HARCOURT RISE,top of cul-de-sac between 14 & 15,391
430724.3627,392494.108899999,HAGGSTONES ROAD,Jct Boggard Lane,392
431427.7571,389842.787900001,STUDFIELD HILL,"o/s 226 (Bin on 226's driveway as agreed with owner, most suitable location due to narrow footpaths)",393
438466.1205,391975.5374,JEDBURGH DRIVE,junction Jedburgh Street,394
421603.5359,400068.070900001,MIDHOPE CLIFFE LANE,junction Joseph Lane,395
435041.7488,383150.183599999,CHANTREY ROAD,"o/s 50, nr jct cross Chantey Road",396
429614.19,388641.1018,RIGGS LOW ROAD,jct Stopes Road,397
434593.3989,388187.3017,MALINDA STREET,o/s 80 - Malinda Street Project,398
433832.6023,391985.604499999,HALIFAX ROAD,Doe Royd Lane jct,399
438884.9119,386060.4705,VIKINGLEA GLADE,"jn Vikinglea Road, next to 18",400
436598.6637,384869.071599999,HARTOPP ROAD,OPPOSITE 5,401
438572.9683,391294.892200001,ROMAN RIDGE ROAD,opp Adel Hair & Beauty,402
433277.619,392000.1503,BIRLEY RISE ROAD,Fox Hill Road Jn,403
439114.2071,385010.971000001,LATHKILL ROAD,jct Masefield Road,405
427707.198,398111.341,HILLS ROAD,o/s 22 on the verge,406
433377.6976,392638.8475,EDGE LANE,Fox Hill Road Jn,407
436037.0019,385331.9991,WARBURTON CLOSE,"Outside number 1 Warburton Close,",408
440028.304,385708.1514,PICKARD DRIVE,Adj flat no2-18,409
435041.3035,383968.1994,NORTON LEES ROAD,"In Green, Jct Cliffefield Road & Crawford Road",410
433239.8237,388257.411699999,MATLOCK ROAD,Outside Heavygate Inn,411
432816.8273,386946.3769,HALLAMGATE ROAD,Jct Tapton House Road,413
434608.8501,382492.6118,MEADOW HEAD,o/s 19 (bottom near Abbey Lane),414
427882.1335,398060.285599999,WHITEHEAD AVENUE,junction schofield road,415
431368.6483,387109.860200001,BARNFIELD ROAD,Outside 1,416
437367.3507,384487.050899999,PADDOCK CRESCENT,junction of Paddock Crescent and Arbourthorne Road,417
429844.5322,393140.993799999,COLDWELL HILL,o/s Coldwell Farm,418
425963.4913,398786.8277,NEWTON AVENUE,OUTSIDE 13,419
431558.3094,388958.121099999,MARCHWOOD AVENUE,Junction Marchwood Road,420
433504.2593,387829.5142,HANDS ROAD,Verge adj 8,422
435678.9766,384866.102399999,GLEADLESS ROAD,Jct Kent Road - o/s Pub,423
432751.6336,387937.0734,STOTHARD ROAD,opp 52,424
439863.9635,384194.084799999,BURBAGE GROVE,Outside 1,427
433190.4028,393885.3707,VICARAGE CLOSE,junction with Main Street,428
437566.8565,393187.430500001,KEPPEL ROAD,O/S 33,429
433232.2382,382401.957800001,DALEWOOD AVENUE,o/s 3,431
426587.1807,397906.7596,LABURNUM GROVE,Side of street lamp no 2,432
438549.2308,391688.419600001,NEWMAN ROAD,jct Merton Lane,433
432106.3669,385019.4585,EDALE ROAD,Jct High Storrs Drive,434
433999.334,385932.337200001,CEMETERY AVENUE,Adj Cemetery entrance,435
436425.8719,387397.017999999,HYDE PARK WALK,opposite 1,436
433138.7392,386705.9858,ASHGATE ROAD,Jct Ashgate Close outside 47,437
435166.0266,384828.223300001,GOODWIN ROAD,Jct Thirlwell Road,438
431168.6396,390027.904899999,NORMANDALE AVENUE,jct Rodney Hill,439
431092.414,385980.363500001,TOM LANE,Adj no94,440
435552.72,387025.874199999,ARUNDEL GATE,Opposite Millenium Galleries (top of Howard Street),441
435407.4997,387439.5558,CHURCH STREET,Located at the tram stop in front of the Cathedral,442
433898.0434,385764.055400001,PORTER BROOK VIEW,Jct Sharrow Vale Road,443
432298.0398,387167.5436,LYDGATE LANE,opp School,444
443419.6378,382731.3035,BECKTON AVENUE,outside 48,445
434257.9485,381734.5188,SHARPE AVENUE,o/s 12,446
432152.5062,391458.3454,MIDDLEWOOD DRIVE EAST,Jct Northwood Drive,447
430912.0203,388492.474400001,OLDFIELD GROVE,opp 1A,449
440772.9402,383069.026799999,WEAKLAND CLOSE,Opp no15,450
